episode_window_idx,percentile,real_action_magnitude,block_motion,agent_motion,contact_change,history_slot_stability
1811,96.875,3.4029157161712646,126.10910034179688,182.8393096923828,1.0,0.9246691763401031
6716,87.5,2.9335246086120605,0.0,61.09456253051758,0.0,0.9271017014980316
7357,56.25,3.672701835632324,3.8787529468536377,54.659629821777344,0.0,0.9276344776153564
3376,0.0,3.1886048316955566,3.989661455154419,112.72102355957031,0.0,0.9244830906391144
5436,90.625,3.6072499752044678,76.00304412841797,166.1868133544922,2.0,0.9224644601345062
7900,50.0,2.49726939201355,18.109376907348633,158.88064575195312,1.0,0.9240161776542664
3729,81.25,4.195151329040527,104.7999496459961,118.66928100585938,2.0,0.9216263890266418
7789,6.25,3.3485686779022217,7.849149703979492,112.62351989746094,1.0,0.9259019494056702
6902,18.75,2.7809152603149414,55.17106628417969,68.08499145507812,0.0,0.9229726791381836
7766,87.5,3.7890915870666504,45.02521514892578,64.4689712524414,1.0,0.9212391376495361
4235,46.875,2.6978561878204346,33.221439361572266,96.59939575195312,1.0,0.9267054498195648
3427,71.875,2.9372503757476807,17.76726531982422,181.90382385253906,1.0,0.9256971180438995
3270,68.75,2.512754440307617,0.0,115.44244384765625,0.0,0.9276930689811707
4401,34.375,1.2225754261016846,2.5648140907287598,89.87528991699219,0.0,0.9262100458145142
6673,59.375,3.4890613555908203,15.66466236114502,51.552303314208984,2.0,0.9252679944038391
426,46.875,2.100759744644165,113.95221710205078,168.72584533691406,1.0,0.9229856431484222
64,93.75,3.1550962924957275,88.32691192626953,95.98773956298828,1.0,0.9228594899177551
3778,40.625,2.5377516746520996,59.42877197265625,144.0747833251953,0.0,0.9244378805160522
199,100.0,3.9926552772521973,13.88125228881836,83.71685028076172,1.0,0.9266552031040192
4850,50.0,3.6462931632995605,109.55885314941406,137.97340393066406,0.0,0.9252749979496002
4053,53.125,3.5651378631591797,17.60504913330078,70.09911346435547,1.0,0.9261251389980316
4232,18.75,2.6783909797668457,0.0,76.77452087402344,0.0,0.9271358251571655
273,43.75,2.5356924533843994,148.34906005859375,138.28184509277344,1.0,0.9257719218730927
6075,9.375,3.427910804748535,46.93913650512695,94.29916381835938,3.0,0.9260832071304321
4820,6.25,2.387158155441284,23.778709411621094,90.89338684082031,1.0,0.924493670463562
2807,71.875,3.741483211517334,37.94554138183594,57.80764389038086,0.0,0.9247013330459595
5132,37.5,2.6018130779266357,17.76726531982422,44.69804382324219,0.0,0.9251179397106171
3489,93.75,3.6320602893829346,7.663286209106445,45.82804489135742,1.0,0.9274482131004333
6483,21.875,3.5237650871276855,190.98049926757812,251.21878051757812,1.0,0.9226328730583191
1591,93.75,3.7032413482666016,38.84417724609375,73.48074340820312,1.0,0.9260933697223663
1997,12.5,3.485534906387329,86.76860046386719,199.2502899169922,1.0,0.9237156808376312
542,75.0,3.2561867237091064,22.253660202026367,66.66448211669922,2.0,0.9240090548992157
4965,59.375,4.212024688720703,80.65766143798828,105.08076477050781,1.0,0.9233595430850983
7112,50.0,4.103601455688477,27.82124900817871,131.51129150390625,1.0,0.924933522939682
948,34.375,2.723712205886841,0.0,142.1625213623047,0.0,0.9250268936157227
7914,31.25,0.8259372711181641,13.154739379882812,134.45005798339844,1.0,0.9228393733501434
3582,37.5,3.3675196170806885,36.93657684326172,39.19950866699219,1.0,0.925297737121582
5854,6.25,3.90175199508667,57.104270935058594,140.454345703125,0.0,0.9258289039134979
7868,0.0,2.6764259338378906,45.05815124511719,119.8545150756836,1.0,0.9240952134132385
1083,9.375,2.882410764694214,101.3704833984375,197.80596923828125,0.0,0.9224238693714142
1595,3.125,3.1501336097717285,130.81158447265625,128.51937866210938,2.0,0.9250015020370483
1534,84.375,3.8115792274475098,0.0,75.07939147949219,0.0,0.9267908036708832
7579,62.5,2.730234146118164,95.05256652832031,141.27781677246094,0.0,0.9234617650508881
5853,81.25,4.120286464691162,48.97774887084961,86.54700469970703,2.0,0.926310658454895
4243,37.5,1.371987223625183,0.39390119910240173,34.15874481201172,0.0,0.9237587749958038
477,87.5,3.4881792068481445,65.45567321777344,75.80085754394531,1.0,0.923222541809082
3865,21.875,3.663013458251953,57.476463317871094,43.39690017700195,0.0,0.9243560433387756
960,31.25,3.2638533115386963,28.90408706665039,54.737953186035156,1.0,0.9258281886577606
6214,59.375,3.4312283992767334,3.6039936542510986,53.03400421142578,0.0,0.9251092374324799
1890,9.375,2.485140800476074,115.33231353759766,138.2174530029297,0.0,0.9261358976364136
1685,62.5,3.024768829345703,0.0,92.39434051513672,0.0,0.9271972477436066
687,53.125,3.0740342140197754,4.813009738922119,115.1151351928711,1.0,0.9245055317878723
2067,3.125,2.440424680709839,2.4845478534698486,36.63493728637695,1.0,0.9253351092338562
5424,25.0,3.0233137607574463,47.4582633972168,52.400569915771484,0.0,0.9239403307437897
3204,78.125,2.999333381652832,70.23516082763672,84.94551086425781,0.0,0.9257103204727173
1417,6.25,2.447690486907959,15.796564102172852,18.196969985961914,0.0,0.9234304428100586
5989,87.5,3.285595178604126,44.632110595703125,68.07788848876953,0.0,0.9257291257381439
2064,75.0,3.4571328163146973,5.929666042327881,119.03852081298828,0.0,0.9246348142623901
7939,9.375,2.9865758419036865,124.1718521118164,97.39502716064453,0.0,0.9245158433914185
5561,40.625,4.083544731140137,130.62088012695312,135.17649841308594,1.0,0.9239043593406677
3382,25.0,2.781574010848999,100.49223327636719,82.21601104736328,0.0,0.9247649013996124
4356,68.75,2.494062900543213,3.7011773586273193,33.898956298828125,0.0,0.9241491258144379
2958,100.0,3.853163480758667,101.99634552001953,152.09402465820312,3.0,0.9243633151054382
5011,34.375,3.4612154960632324,64.82159423828125,95.34967803955078,0.0,0.9222374558448792
1365,81.25,2.7909789085388184,12.190868377685547,73.02974700927734,0.0,0.9253318011760712
5734,40.625,2.8046762943267822,10.77022933959961,31.446435928344727,1.0,0.9271965026855469
3048,12.5,2.8959150314331055,75.30615234375,147.502685546875,1.0,0.9245722889900208
6608,100.0,3.1071228981018066,0.0,27.551382064819336,0.0,0.9273556470870972
2241,18.75,3.5994882583618164,0.0,93.06005096435547,0.0,0.9245571494102478
5227,46.875,2.442990303039551,0.07176271080970764,25.994112014770508,0.0,0.9275252819061279
7793,68.75,3.2000789642333984,27.335546493530273,138.6519012451172,0.0,0.9218859970569611
6009,59.375,2.356133460998535,23.604528427124023,47.25333786010742,2.0,0.9227539598941803
4019,15.625,3.4887659549713135,91.0619125366211,80.95794677734375,0.0,0.9254404902458191
